,episode,steps,meanepreward,meaneplen,#parallel_run
304,304,1586000,-1264.6847896431225,200.0,0
305,305,1591200,-1258.0744632710548,200.0,0
306,306,1596400,-1253.6617917578399,200.0,0
307,307,1601600,-1286.7195503662851,200.0,0
308,308,1606800,-1258.2001110709066,200.0,0
309,309,1612000,-1251.9669006249542,200.0,0
310,310,1617200,-1269.579753839628,200.0,0
311,311,1622400,-1264.1434202711655,200.0,0
312,312,1627600,-1257.341852084455,200.0,0
313,313,1632800,-1292.7572344319994,200.0,0
314,314,1638000,-1261.7685364289237,200.0,0
315,315,1643200,-1271.6788614748596,200.0,0
316,316,1648400,-1253.8472562549016,200.0,0
317,317,1653600,-1267.7131195025609,200.0,0
318,318,1658800,-1240.4055113094041,200.0,0
319,319,1664000,-1252.6365329214989,200.0,0
320,320,1669200,-1265.1200976262194,200.0,0
321,321,1674400,-1235.2145583803706,200.0,0
322,322,1679600,-1218.7864163331428,200.0,0
323,323,1684800,-1282.4068919766944,200.0,0
324,324,1690000,-1247.4306574254404,200.0,0
325,325,1695200,-1212.0361222032063,200.0,0
326,326,1700400,-1233.0561393824498,200.0,0
327,327,1705600,-1250.2644752553385,200.0,0
328,328,1710800,-1245.8239949366503,200.0,0
329,329,1716000,-1235.2344521860725,200.0,0
330,330,1721200,-1249.160267093224,200.0,0
331,331,1726400,-1237.288935955398,200.0,0
332,332,1731600,-1224.7734610938408,200.0,0
333,333,1736800,-1233.4901085035765,200.0,0
334,334,1742000,-1224.2208030996521,200.0,0
335,335,1747200,-1251.7205534750485,200.0,0
336,336,1752400,-1264.7611340573644,200.0,0
337,337,1757600,-1249.0955404159276,200.0,0
338,338,1762800,-1258.3611697379245,200.0,0
339,339,1768000,-1230.1702683664494,200.0,0
340,340,1773200,-1217.7836584134623,200.0,0
341,341,1778400,-1239.7191052345129,200.0,0
342,342,1783600,-1168.4049642699479,200.0,0
343,343,1788800,-1245.5047468956386,200.0,0
344,344,1794000,-1252.231797464424,200.0,0
345,345,1799200,-1230.8299919472674,200.0,0
346,346,1804400,-1248.262781658226,200.0,0
347,347,1809600,-1208.4548177148881,200.0,0
348,348,1814800,-1251.730395769865,200.0,0
349,349,1820000,-1249.74978211617,200.0,0
350,350,1825200,-1248.564640681616,200.0,0
351,351,1830400,-1234.964969576404,200.0,0
352,352,1835600,-1243.7323290136005,200.0,0
353,353,1840800,-1208.4638021412682,200.0,0
354,354,1846000,-1247.0258530493434,200.0,0
355,355,1851200,-1228.1969894346817,200.0,0
356,356,1856400,-1235.0844587918307,200.0,0
357,357,1861600,-1237.7962437037056,200.0,0
358,358,1866800,-1243.7594783199982,200.0,0
359,359,1872000,-1206.0019435578956,200.0,0
360,360,1877200,-1248.8722593282018,200.0,0
361,361,1882400,-1244.826614708452,200.0,0
362,362,1887600,-1223.4509173635543,200.0,0
363,363,1892800,-1222.79515009064,200.0,0
364,364,1898000,-1231.6768205079288,200.0,0
365,365,1903200,-1260.368316466727,200.0,0
366,366,1908400,-1247.3214399939807,200.0,0
367,367,1913600,-1250.4673535819159,200.0,0
368,368,1918800,-1248.2332608006886,200.0,0
369,369,1924000,-1247.9250470211905,200.0,0
370,370,1929200,-1225.547989226724,200.0,0
371,371,1934400,-1269.271141044546,200.0,0
372,372,1939600,-1235.6560466709382,200.0,0
373,373,1944800,-1250.6869065812136,200.0,0
374,374,1950000,-1254.0720838613463,200.0,0
375,375,1955200,-1256.220102250166,200.0,0
376,376,1960400,-1238.1141135851447,200.0,0
377,377,1965600,-1239.6792538406808,200.0,0
378,378,1970800,-1210.5270182399736,200.0,0
379,379,1976000,-1234.9756039018082,200.0,0
380,380,1981200,-1214.9893529978963,200.0,0
381,381,1986400,-1220.5580397263816,200.0,0
382,382,1991600,-1232.4984903252514,200.0,0
383,383,1996800,-1249.8789455926692,200.0,0
384,384,2002000,-1190.1612154084519,200.0,0
385,385,2007200,-1198.1155462772763,200.0,0
386,386,2012400,-1205.703983006958,200.0,0
387,387,2017600,-1231.550900301409,200.0,0
388,388,2022800,-1243.4594815362143,200.0,0
389,389,2028000,-1267.1400079157297,200.0,0
390,390,2033200,-1246.4464560168885,200.0,0
391,391,2038400,-1261.9896499265683,200.0,0
392,392,2043600,-1235.1855628920334,200.0,0
393,393,2048800,-1242.8236964564926,200.0,0
394,394,2054000,-1257.8953316112468,200.0,0
395,395,2059200,-1264.5742932489288,200.0,0
396,396,2064400,-1240.7984305950822,200.0,0
397,397,2069600,-1250.5307025234338,200.0,0
398,398,2074800,-1255.1689492937555,200.0,0
399,399,2080000,-1231.108449580698,200.0,0
400,400,2085200,-1243.2966818030193,200.0,0
401,401,2090400,-1255.7069432149422,200.0,0
402,402,2095600,-1243.1556668544094,200.0,0
403,403,2100800,-1246.6050400624808,200.0,0
404,404,2106000,-1230.1801192511869,200.0,0
405,405,2111200,-1231.7428281465127,200.0,0
406,406,2116400,-1258.7949345959555,200.0,0
407,407,2121600,-1235.7652202030915,200.0,0
408,408,2126800,-1228.2744891985374,200.0,0
409,409,2132000,-1237.0933713123898,200.0,0
410,410,2137200,-1270.6760826736952,200.0,0
411,411,2142400,-1249.5735847838132,200.0,0
412,412,2147600,-1257.361111764275,200.0,0
413,413,2152800,-1219.498241900326,200.0,0
414,414,2158000,-1254.2575818491855,200.0,0
415,415,2163200,-1226.8328947027599,200.0,0
416,416,2168400,-1262.397177849729,200.0,0
417,417,2173600,-1249.3371845532822,200.0,0
418,418,2178800,-1246.1431699635489,200.0,0
419,419,2184000,-1252.0426666737476,200.0,0
420,420,2189200,-1229.867266421344,200.0,0
421,421,2194400,-1228.3014712994957,200.0,0
422,422,2199600,-1263.1553432520366,200.0,0
423,423,2204800,-1270.123102622281,200.0,0
424,424,2210000,-1254.270899217926,200.0,0
425,425,2215200,-1252.2778310017854,200.0,0
426,426,2220400,-1273.2595412566411,200.0,0
427,427,2225600,-1265.3948187220558,200.0,0
428,428,2230800,-1277.4510954571479,200.0,0
429,429,2236000,-1268.906505530689,200.0,0
430,430,2241200,-1255.3187458288735,200.0,0
431,431,2246400,-1275.4162480685166,200.0,0
432,432,2251600,-1271.3859067484398,200.0,0
433,433,2256800,-1275.3185570853939,200.0,0
434,434,2262000,-1246.7288713509972,200.0,0
435,435,2267200,-1239.4084295861512,200.0,0
436,436,2272400,-1276.5116223309296,200.0,0
437,437,2277600,-1259.6339927073775,200.0,0
438,438,2282800,-1257.2749105365567,200.0,0
439,439,2288000,-1282.8780523676335,200.0,0
440,440,2293200,-1251.1022963032447,200.0,0
441,441,2298400,-1253.4246985770767,200.0,0
442,442,2303600,-1265.101011516526,200.0,0
443,443,2308800,-1237.314034245147,200.0,0
444,444,2314000,-1264.2958658608225,200.0,0
445,445,2319200,-1235.7876623593481,200.0,0
446,446,2324400,-1249.2297645844128,200.0,0
447,447,2329600,-1242.813815366379,200.0,0
448,448,2334800,-1265.829230831045,200.0,0
449,449,2340000,-1254.983041710685,200.0,0
450,450,2345200,-1255.3729890896966,200.0,0
451,451,2350400,-1257.8661844758171,200.0,0
452,452,2355600,-1242.2986701785137,200.0,0
453,453,2360800,-1237.3138476014337,200.0,0
454,454,2366000,-1262.2290176074746,200.0,0
455,455,2371200,-1262.5946119471594,200.0,0
456,456,2376400,-1250.395920605349,200.0,0
457,457,2381600,-1256.0609025529163,200.0,0
458,458,2386800,-1271.0794447319963,200.0,0
459,459,2392000,-1265.2631083842805,200.0,0
460,460,2397200,-1252.498966390644,200.0,0
461,461,2402400,-1254.0652062194156,200.0,0
462,462,2407600,-1263.5302038238888,200.0,0
463,463,2412800,-1273.4511731112818,200.0,0
464,464,2418000,-1271.7794954182157,200.0,0
465,465,2423200,-1238.6400310841173,200.0,0
466,466,2428400,-1229.9770414916957,200.0,0
467,467,2433600,-1284.463927600866,200.0,0
468,468,2438800,-1262.6379132545155,200.0,0
469,469,2444000,-1281.8043232683835,200.0,0
470,470,2449200,-1252.5241450363474,200.0,0
471,471,2454400,-1263.5372186535137,200.0,0
472,472,2459600,-1248.362334005221,200.0,0
473,473,2464800,-1259.173826660945,200.0,0
474,474,2470000,-1246.113310374994,200.0,0
475,475,2475200,-1279.227820288225,200.0,0
476,476,2480400,-1249.580442410027,200.0,0
477,477,2485600,-1263.1219254642915,200.0,0
478,478,2490800,-1278.7364495332783,200.0,0
479,479,2496000,-1265.2143700894035,200.0,0
480,480,2501200,-1236.3535089804157,200.0,0
481,481,2506400,-1272.4350712733212,200.0,0
482,482,2511600,-1261.4835570672303,200.0,0
483,483,2516800,-1262.5002825719362,200.0,0
484,484,2522000,-1244.7073697711444,200.0,0
485,485,2527200,-1280.9972748168168,200.0,0
486,486,2532400,-1271.0816891105028,200.0,0
487,487,2537600,-1283.3206796674026,200.0,0
488,488,2542800,-1258.073379366353,200.0,0
489,489,2548000,-1258.8676020497892,200.0,0
490,490,2553200,-1272.5379886457877,200.0,0
491,491,2558400,-1271.1947389673728,200.0,0
492,492,2563600,-1274.7477040518718,200.0,0
493,493,2568800,-1248.5310413854497,200.0,0
494,494,2574000,-1259.6752882699845,200.0,0
495,495,2579200,-1282.8186229177393,200.0,0
496,496,2584400,-1266.5330979967625,200.0,0
497,497,2589600,-1259.0505543416918,200.0,0
498,498,2594800,-1253.1629518858506,200.0,0
499,499,2600000,-1270.2699344666942,200.0,0
500,500,2605200,-1266.7353818374734,200.0,0
501,501,2610400,-1271.118771291513,200.0,0
502,502,2615600,-1278.7751902595612,200.0,0
503,503,2620800,-1254.150957637528,200.0,0
504,504,2626000,-1267.9022639799512,200.0,0
505,505,2631200,-1265.8072432784752,200.0,0
506,506,2636400,-1262.833222809283,200.0,0
507,507,2641600,-1266.0570065424631,200.0,0
508,508,2646800,-1258.226276361705,200.0,0
509,509,2652000,-1282.8316547704753,200.0,0
510,510,2657200,-1232.2598945905722,200.0,0
511,511,2662400,-1274.3718861339783,200.0,0
512,512,2667600,-1274.9329871374307,200.0,0
513,513,2672800,-1260.957575343902,200.0,0
514,514,2678000,-1248.502560009852,200.0,0
515,515,2683200,-1274.031670083265,200.0,0
